Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
422736,435529,1,2014-02-06,15:25:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,16
428544,436894,1,2014-02-06,16:40:00,B,Dry,Daylight: Street lights present,Fine without high winds,Bus,Passenger,Slight,Male,27
429586,434744,1,2014-02-07,23:50:00,A,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Pedestrian,Slight,Male,40
427569,434537,2,2014-02-07,18:45:00,A,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Female,25
427569,434537,2,2014-02-07,18:45:00,A,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Female,19
430391,430939,≥4,2014-02-07,08:24:00,Motorway,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,23
428068,434530,3,2014-02-07,08:40:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,5
428068,434530,3,2014-02-07,08:40:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,6
430391,430939,≥4,2014-02-07,08:24:00,Motorway,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,53
427569,434537,2,2014-02-07,18:45:00,A,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Female,22
426343,428159,2,2014-02-08,10:30:00,B,Wet/Damp,Daylight: Street lights present,Fine with high winds,Car,Driver,Slight,Female,44
